form	lemma	POS	morph
		
ཨོཾ་	ཨོཾ་	X
ར་	ལ་	PART
མཆོད་	མཆོད་	VERB
དེ་	དེ་	DET
། །		PUNCT
བག་མེད་	བག་མེད་	NOUN
ཀྱི་	གི་	PART
སྤྲང་བན་	སྤྲང་བན་	NO_POS
པདྨ་	པདྨ་	NOUN
འི་	གི་	PART
མིང་	མིང་	NOUN
གིས་	གིས་	PART
རིགས་	རིགས་	NOUN
བདག་	བདག་	PRON
གཏེར་ཆེན་	གཏེར་ཆེན་	OTHER
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
གདན་ས་	གདན་ས་	NOUN
དྭངས་	དྭངས་	NO_POS
སྤྲོ་	སྤྲོ་	NO_POS
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
ལྷུན་གྲུབ་	ལྷུན་གྲུབ་	OTHER
རི་ཁྲོད་	རི་ཁྲོད་	NOUN
དུ་	ལ་	PART
ཐུགས་	ཐུགས་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
བསམ་	བསམ་	NOUN
ལྷུན་	ལྷུན་	NOUN
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
འི་	གི་	PART
ཚོགས་མཆོད་	ཚོགས་མཆོད་	NOUN
འབུམ་ཕྲག་	འབུམ་ཕྲག་	OTHER
སྐབས་	སྐབས་	NOUN
གུས་པ་	གུས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ས་	གིས་	PART
གསོལ་བ་	གསོལ་བ་	VERB
བཏབ་པ་	བཏབ་པ་	VERB
དོན་	དོན་	NOUN
དང་	དང་	NO_POS
ལྡན་པ་	ལྡན་པ་	VERB
ར་	ལ་	PART
གྱུར་ཅིག་	གྱུར་ཅིག་	NO_POS
། །།		PUNCT
