form	lemma	POS	morph
		
གདོད་	གདོད་	NO_POS
རྫོགས་	རྫོགས་	VERB
། །		PUNCT
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
ངང་	ངང་	NOUN
། །		PUNCT
ཡི་དམ་	ཡི་དམ་	NOUN
བླ་མ་	བླ་མ་	NOUN
པདྨ་	པདྨ་	NOUN
འབྱུང་	འབྱུང་	VERB
། །		PUNCT
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
སོ་	སོ་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ས་	གིས་	PART
གཟིགས་	གཟིགས་	VERB
། །		PUNCT
ཕྱི་	ཕྱི་	NOUN
ཡི་	ཡི་	ADP
བར་ཆད་	བར་ཆད་	NOUN
ཕྱི་རུ་	ཕྱི་རུ་	NO_POS
ཟློག་	ཟློག་	VERB
།		PUNCT
ནང་	ནང་	NOUN
གི་	གི་	PART
བར་ཆད་	བར་ཆད་	NOUN
ནང་	ནང་	NOUN
དུ་	ལ་	PART
ཞི་	ཞི་	VERB
། །		PUNCT
གསང་བ་	གསང་བ་	VERB
འི་	གི་	PART
བར་ཆད་	བར་ཆད་	NOUN
དབྱིངས་	དབྱིངས་	NOUN
སུ་	སུ་	ADP
དེངས་	དེངས་	NO_POS
། །		PUNCT
བསམ་པ་	བསམ་པ་	VERB
ལྷུན་	ལྷུན་	NOUN
གྱིས་	གིས་	PART
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
མཛོད་	མཛོད་	NOUN
། །		PUNCT
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
འཛིན་	འཛིན་	VERB
བྲལ་	བྲལ་	VERB
སྤྲུལ་པ་	སྤྲུལ་པ་	VERB
འི་	གི་	PART
སྐུ་	སྐུ་	NOUN
། །		PUNCT
གང་	གང་	NO_POS
འདུལ་	འདུལ་	NO_POS
སྒྱུ་འཕྲུལ་	སྒྱུ་འཕྲུལ་	PROPN
རོལ་པ་	རོལ་པ་	VERB
འི་	གི་	PART
ངང་	ངང་	NOUN
། །		PUNCT
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
པདྨ་	པདྨ་	NOUN
འབྱུང་	འབྱུང་	VERB
། །		PUNCT
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
སོ་	སོ་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ས་	གིས་	PART
གཟིགས་	གཟིགས་	VERB
། །		PUNCT
ཕྱི་	ཕྱི་	NOUN
ཡི་	ཡི་	ADP
བར་ཆད་	བར་ཆད་	NOUN
ཕྱི་རུ་	ཕྱི་རུ་	NO_POS
ཟློག་	ཟློག་	VERB
།		PUNCT
ནང་	ནང་	NOUN
གི་	གི་	PART
བར་ཆད་	བར་ཆད་	NOUN
ནང་	ནང་	NOUN
དུ་	ལ་	PART
ཞི་	ཞི་	VERB
། །		PUNCT
གསང་བ་	གསང་བ་	VERB
འི་	གི་	PART
བར་ཆད་	བར་ཆད་	NOUN
དབྱིངས་	དབྱིངས་	NOUN
སུ་	སུ་	ADP
དེངས་	དེངས་	NO_POS
། །		PUNCT
བསམ་པ་	བསམ་པ་	VERB
ལྷུན་	ལྷུན་	NOUN
གྱིས་	གིས་	PART
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
མཛོད་	མཛོད་	NOUN
། །		PUNCT
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ངོ་བོ་	ངོ་བོ་	NOUN
ཉིད་	ཉིད་	DET
། །		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
ཀུན་	ཀུན་	DET
འདུ་	འདུ་	VERB
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཅན་	ཅན་	PART
། །		PUNCT
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
པདྨ་	པདྨ་	NOUN
འབྱུང་	འབྱུང་	VERB
། །		PUNCT
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
སོ་	སོ་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ས་	གིས་	PART
གཟིགས་	གཟིགས་	VERB
། །		PUNCT
ཕྱི་	ཕྱི་	NOUN
ཡི་	ཡི་	ADP
བར་ཆད་	བར་ཆད་	NOUN
ཕྱི་རུ་	ཕྱི་རུ་	NO_POS
ཟློག་	ཟློག་	VERB
།		PUNCT
ནང་	ནང་	NOUN
གི་	གི་	PART
བར་ཆད་	བར་ཆད་	NOUN
ནང་	ནང་	NOUN
དུ་	ལ་	PART
ཞི་	ཞི་	VERB
། །		PUNCT
གསང་བ་	གསང་བ་	VERB
འི་	གི་	PART
བར་ཆད་	བར་ཆད་	NOUN
དབྱིངས་	དབྱིངས་	NOUN
སུ་	སུ་	ADP
དེངས་	དེངས་	NO_POS
། །		PUNCT
བསམ་པ་	བསམ་པ་	VERB
ལྷུན་	ལྷུན་	NOUN
གྱིས་	གིས་	PART
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
མཛོད་	མཛོད་	NOUN
། །		PUNCT
རྩ་བ་	རྩ་བ་	NOUN
ར་	ལ་	PART
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
ཡི་དམ་	ཡི་དམ་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
ཆོས་སྐྱོང་	ཆོས་སྐྱོང་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
ཁྱད་པར་	ཁྱད་པར་	NOUN
སྔགས་	སྔགས་	NOUN
བདག་	བདག་	PRON
མ་མོ་	མ་མོ་	NOUN
ལ་	ལ་	ADP
། །		PUNCT
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་	འདེབས་	VERB
སོ་	སོ་	PART
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ས་	གིས་	PART
གཟིགས་	གཟིགས་	VERB
། །		PUNCT
ཕྱི་	ཕྱི་	NOUN
ཡི་	ཡི་	ADP
བར་ཆད་	བར་ཆད་	NOUN
ཕྱི་རུ་	ཕྱི་རུ་	NO_POS
ཟློག་	ཟློག་	VERB
།		PUNCT
ནང་	ནང་	NOUN
གི་	གི་	PART
བར་ཆད་	བར་ཆད་	NOUN
ནང་	ནང་	NOUN
དུ་	ལ་	PART
ཞི་	ཞི་	VERB
། །		PUNCT
གསང་བ་	གསང་བ་	VERB
འི་	གི་	PART
བར་ཆད་	བར་ཆད་	NOUN
དབྱིངས་	དབྱིངས་	NOUN
སུ་	སུ་	ADP
དེངས་	དེངས་	NO_POS
། །		PUNCT
བསམ་པ་	བསམ་པ་	VERB
ལྷུན་	ལྷུན་	NOUN
གྱིས་	གིས་	PART
འགྲུབ་པ་	འགྲུབ་པ་	VERB
ར་	ལ་	PART
མཛོད་	མཛོད་	NOUN
། །		PUNCT
དེང་ནས་	དེང་ནས་	NO_POS
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
བ་	བ་	NOUN
། །		PUNCT
འབྲལ་	འབྲལ་	NO_POS
མེད་	མེད་	VERB
རྗེས་སུ་	རྗེས་སུ་	OTHER
བཟུང་བ་	བཟུང་བ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
རྐྱེན་	རྐྱེན་	NOUN
ཕྱི་	ཕྱི་	NOUN
ནང་	ནང་	NOUN
གི་	གི་	PART
བར་ཆད་	བར་ཆད་	NOUN
ཞི་བ་	ཞི་བ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
མཆོག་	མཆོག་	ADJ
ཐུན་མོང་	ཐུན་མོང་	ADJ
གི་	གི་	PART
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
སྩལ་	སྩལ་	VERB
དུ་	ལ་	PART
གསོལ་	གསོལ་	VERB
། །		PUNCT
ཨོཾ་	ཨོཾ་	X
ཨཱཿ་		NON_WORD
ཧཱུྃ་		NON_WORD
བཛྲ་	བཛྲ་	NO_POS
གུ་རུ་	གུ་རུ་	PROPN
པདྨ་	པདྨ་	NOUN
སིདྡྷི་		NON_WORD
ཧཱུྃ་		NON_WORD
།		PUNCT
ཞེས་་	ཞེས་པ་	PART
འི་	གི་	PART
བར་ཆད་	བར་ཆད་	NOUN
ལམ་སེལ་	ལམ་སེལ་	OTHER
འདི་	འདི་	DET
འང་	ཀྱང་	PART
གཉེར་པ་	གཉེར་པ་	VERB
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
སྐལ་བཟང་	སྐལ་བཟང་	OTHER
དབུ་	དབུ་	NOUN
སུ་	སུ་	ADP
ཁྲི་	ཁྲི་	NUM
འབུལ་	འབུལ་	NO_POS
འགྲོ་ཁ་	འགྲོ་ཁ་	NO_POS
ར་	ལ་	PART
ནང་	ནང་	NOUN
ནུབ་	ནུབ་	ADV
བར་ཆད་	བར་ཆད་	NOUN
སེལ་བ་	སེལ་བ་	VERB
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
ཞིག་	ཅིག་	PART
དགོས་	དགོས་	VERB
ཤེ་	ཤེ་	VERB
བསྐུལ་	བསྐུལ་	VERB
ངོ་	ངོ་	PART
ར་	ལ་	PART
།		PUNCT
ལྡེམ་	ལྡེམ་	NO_POS
ཤུལ་	ཤུལ་	NOUN
འབའ་	འབའ་	DET
རབ་	རབ་	ADV
སྒ་		
དུ་	ལ་	PART
སྟག་ཤམ་པ་	སྟག་ཤམ་པ་	NO_POS
ས་	གིས་	PART
བྲིས་པ་	བྲིས་པ་	VERB
དོན་ལྡན་	དོན་ལྡན་	ADJ
དུ་	ལ་	PART
གྱུར་ཅིག་	གྱུར་ཅིག་	NO_POS
། །།		PUNCT
