form	lemma	POS	morph
		
ཨོཾ་	ཨོཾ་	X
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
ཡང་ཡང་	ཡང་ཡང་	NO_POS
ཐོབ་པ་	ཐོབ་པ་	VERB
འི་	གི་	PART
སྐལ་པ་	སྐལ་པ་	NOUN
ཅན་	ཅན་	PART
ཁོ་བོ་	ཁོ་བོ་	PRON
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
དྲི་མེད་	དྲི་མེད་	ADJ
རབ་འབྱམས་པ་	རབ་འབྱམས་པ་	ADJ
ས་	གིས་	PART
སྒྲོ་	སྒྲོ་	NOUN
བཀུར་	བཀུར་	VERB
དང་	དང་	NO_POS
བྲལ་བ་	བྲལ་བ་	VERB
ར་	ལ་	PART
བརྗོད་པ་	བརྗོད་པ་	VERB
ས་	གིས་	PART
དེ་བཞིན་	དེ་བཞིན་	OTHER
དུ་	ལ་	PART
འགྲུབ་པ་	འགྲུབ་པ་	VERB
འི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
ར་	ལ་	PART
གྱུར་ཅིག་	གྱུར་ཅིག་	NO_POS
སིདྡྷི་		NON_WORD
རསྟུ་		NON_WORD
།།		PUNCT
		
